Incident Name,Page DateTime,Start DateTime,Incident Status,Location,Type,Cause,Counties,Acres Burned,Containment,Structures Threatened,Structures Destroyed,Structures Damaged,Civilian Injuries,Firefighter Injuries,Civilian Fatalities,Total Personnel,Engines,Water Tenders,Hand Crews,Other Resources,Administration Unit,Unified Command Agency(s)
Palisades Fire,Update on 02/10/2025 at 3:46 PM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6833.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 02/07/2025 at 12:57 PM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6833.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 02/05/2025 at 8:31 AM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6831.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 02/05/2025 at 8:00 AM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6831.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 02/04/2025 at 11:06 AM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6831.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 02/04/2025 at 10:05 AM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6831.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 02/04/2025 at 10:01 AM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6831.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 02/04/2025 at 7:40 AM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6831.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 02/03/2025 at 2:03 PM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6831.0,973.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
Palisades Fire,Update on 01/30/2025 at 5:35 PM,2025-01-07,Active,"Southeast of Palisades Drive, Pacific Palisades",Wildfire,Under Investigation,Los Angeles,23448.0,95%,12317.0,6837.0,1017.0,3.0,1.0,12.0,800.0,22.0,1.0,9.0,1.0,Los Angeles City Fire Department,Size
